workflow_id,workflow_version,method,model_flag,preset,stage,stage_role,stage_root,budget,objective_metric,objective_direction,config_group_id,rank,is_winner,is_shortlisted,n_dataset_seeds,dataset_seeds,member_cfg_ids,member_statuses,all_completed,objective_mean,objective_std,objective_min,objective_max,mean_final_round_seconds,mean_final_train_seconds,mean_final_candidate_generation_seconds,mean_final_candidate_simulation_seconds,mean_final_acquisition_seconds,mean_final_selected_simulation_seconds,mean_final_eval_seconds,qbc_M,active.disagreement.metric,active.hybrid.pca_explained_variance,active.hybrid.k_density,active.hybrid.preselect_factor,active.hybrid.greedy_score_weight,active.hybrid.weights.uncertainty,active.hybrid.weights.diversity,active.hybrid.weights.sparsity,qbc_P
qbc_marker_hybrid_sm_avr_gov_v1,1,qbc_marker_hybrid,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/qbc_marker_hybrid_sm_avr_gov_v1_20260323_070441/refine,b4096,final_eval_rmse,minimize,grp_63488d6ebe,1,True,True,2,s01;;s02,cfg_00020_31fca29af1;;cfg_00044_adf2153cda,completed,True,0.005471495670935899,0.0002982137663754777,0.0051732819045604206,0.005769709437311376,167.9568918850564,154.03327004198218,0.00216201797593385,0.0,13.209446949971607,0.31930312496842816,0.07747118099359795,5,member_l2_mean,0.95,10,5,0.7,0.6,0.25,0.15,8192
qbc_marker_hybrid_sm_avr_gov_v1,1,qbc_marker_hybrid,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/qbc_marker_hybrid_sm_avr_gov_v1_20260323_070441/refine,b4096,final_eval_rmse,minimize,grp_727c07187c,2,False,True,2,s01;;s02,cfg_00003_bafb8d87ab;;cfg_00027_7f1b40edb8,completed,True,0.005837940021898528,0.00041830596174301715,0.00541963406015551,0.006256245983641545,153.36311113648117,148.0227848920331,0.0011859470105264336,0.0,4.640693910507252,0.31522862054407597,0.06670149852288887,5,member_l2_mean,0.9,10,3,0.9,0.6,0.25,0.15,2048
qbc_marker_hybrid_sm_avr_gov_v1,1,qbc_marker_hybrid,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/qbc_marker_hybrid_sm_avr_gov_v1_20260323_070441/refine,b4096,final_eval_rmse,minimize,grp_8f4b6a6a94,3,False,False,2,s01;;s02,cfg_00017_0302c4d6ea;;cfg_00041_7ba36b7651,completed,True,0.005872605264325734,0.00010237187981022204,0.005770233384515512,0.005974977144135956,168.5553699740267,154.84236660049646,0.0023219969880301505,0.0,12.972017049934948,0.3343175155168865,0.07798185298452154,5,member_l2_mean,0.95,10,3,0.9,0.6,0.25,0.15,8192
qbc_marker_hybrid_sm_avr_gov_v1,1,qbc_marker_hybrid,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/qbc_marker_hybrid_sm_avr_gov_v1_20260323_070441/refine,b4096,final_eval_rmse,minimize,grp_73bcde2956,4,False,False,2,s01;;s02,cfg_00001_c9e81afa4b;;cfg_00025_5a7d70eea6,completed,True,0.006055333411224179,0.0006758612448705095,0.00537947216635367,0.006731194656094689,156.68582152298768,148.61308030600776,0.0015456105174962431,0.0,7.376990635995753,0.30719342647353187,0.07508310349658132,5,member_l2_mean,0.9,10,3,0.7,0.6,0.25,0.15,4096
qbc_marker_hybrid_sm_avr_gov_v1,1,qbc_marker_hybrid,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/qbc_marker_hybrid_sm_avr_gov_v1_20260323_070441/refine,b4096,final_eval_rmse,minimize,grp_22f8b4971b,5,False,False,2,s01;;s02,cfg_00010_ab55f04ac0;;cfg_00034_0681dae4de,completed,True,0.006135271804427898,0.0005993787821384176,0.00553589302228948,0.0067346505865663155,155.9090257465141,147.4351031705155,0.0015296789933927357,0.0,7.6976373984944075,0.29457973496755585,0.07183013399480842,5,member_l2_mean,0.9,10,5,0.9,0.6,0.25,0.15,4096
qbc_marker_hybrid_sm_avr_gov_v1,1,qbc_marker_hybrid,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/qbc_marker_hybrid_sm_avr_gov_v1_20260323_070441/refine,b4096,final_eval_rmse,minimize,grp_1b1d44db8a,6,False,False,2,s01;;s02,cfg_00000_f28553222f;;cfg_00024_48cce64b47,completed,True,0.006199211239223623,0.0002504957068498099,0.005948715532373813,0.006449706946073433,152.38726317550754,147.0948212654912,0.0012046369956806302,0.0,4.598138001485495,0.3105800870107487,0.07099855251726694,5,member_l2_mean,0.9,10,3,0.7,0.6,0.25,0.15,2048
qbc_marker_hybrid_sm_avr_gov_v1,1,qbc_marker_hybrid,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/qbc_marker_hybrid_sm_avr_gov_v1_20260323_070441/refine,b4096,final_eval_rmse,minimize,grp_73ec759198,7,False,False,2,s01;;s02,cfg_00021_343e5ca228;;cfg_00045_c03d937601,completed,True,0.0062247578221768345,0.0006678610021022763,0.005556896820074558,0.006892618824279111,158.06774309751927,152.36663777698413,0.001264830498257652,0.0,4.99333754502004,0.31803157497779466,0.07144808347220533,5,member_l2_mean,0.95,10,5,0.9,0.6,0.25,0.15,2048
qbc_marker_hybrid_sm_avr_gov_v1,1,qbc_marker_hybrid,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/qbc_marker_hybrid_sm_avr_gov_v1_20260323_070441/refine,b4096,final_eval_rmse,minimize,grp_95f651a4f7,8,False,False,2,s01;;s02,cfg_00019_33a4b3e2c6;;cfg_00043_fd25a6b4b2,completed,True,0.006228741435593587,9.161046276962015e-05,0.0061371309728239665,0.006320351898363207,163.10904275850044,154.30312799298554,0.0016174410411622375,0.0,7.797312942973804,0.322057578508975,0.07654728752095252,5,member_l2_mean,0.95,10,5,0.7,0.6,0.25,0.15,4096
qbc_marker_hybrid_sm_avr_gov_v1,1,qbc_marker_hybrid,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/qbc_marker_hybrid_sm_avr_gov_v1_20260323_070441/refine,b4096,final_eval_rmse,minimize,grp_f34ac0a0a6,9,False,False,2,s01;;s02,cfg_00015_32339651b1;;cfg_00039_40bcada933,completed,True,0.006258583908967021,0.00025762921253626777,0.0060009546964307535,0.006516213121503289,156.19776993698906,150.85568989999592,0.0012303129769861698,0.0,4.644914621516364,0.30885962952743284,0.07257216150173917,5,member_l2_mean,0.95,10,3,0.9,0.6,0.25,0.15,2048
qbc_marker_hybrid_sm_avr_gov_v1,1,qbc_marker_hybrid,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/qbc_marker_hybrid_sm_avr_gov_v1_20260323_070441/refine,b4096,final_eval_rmse,minimize,grp_c516b8062e,10,False,False,2,s01;;s02,cfg_00002_28c4b6ee3b;;cfg_00026_3e37e92bb0,completed,True,0.006299235388345004,0.000907237381242956,0.0053919980071020475,0.0072064727695879596,161.63389865352656,148.23616096950718,0.002117959491442889,0.0,12.699020819010912,0.3147552719747182,0.0699596795020625,5,member_l2_mean,0.9,10,3,0.7,0.6,0.25,0.15,8192
